signal_index,symbol,signal_date,market_cap,sector,status,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
2250,GICHSGFIN,01-12-2022,Smallcap,Financials,Completed,199.08,2022-12-01,184.7,2023-01-01,Stop Loss,1,-7.22,-59.32,-7.22,232.29,2023-01-01,22.37,184.7,,184.7
2251,PVP,01-12-2022,Smallcap,Realty,Completed,10.15,2022-12-01,8.75,2023-01-01,Stop Loss,1,-13.79,-83.15,-13.79,11.8,2022-12-01,19.21,8.75,,8.75
2252,MANAPPURAM,01-12-2022,Largecap,Financials,Completed,109.85,2022-12-01,108.77,2023-01-01,Stop Loss,1,-0.99,-11.25,-0.99,119.17,2022-12-01,8.05,108.77,,108.77
2253,J&KBANK,01-12-2022,Midcap,Bank,Completed,54.16,2022-12-01,52.59,2023-01-01,Stop Loss,1,-2.91,-29.84,-2.91,59.99,2022-12-01,21.08,52.59,,52.59
2254,STLTECH,01-12-2022,Midcap,Industrials,Completed,174.64,2022-12-01,157.65,2023-02-01,Stop Loss,2,-9.73,-45.89,-4.99,191.78,2022-12-01,13.09,157.65,,157.65
2255,IOB,01-12-2022,Largecap,Bank,Completed,32.1,2022-12-01,28.45,2023-01-01,Stop Loss,1,-11.37,-76.51,-11.37,36.7,2022-12-01,31.78,28.45,,28.45
2256,UNIONBANK,01-12-2022,Largecap,Bank,Completed,73.3,2022-12-01,71.56,2023-01-01,Stop Loss,1,-2.36,-24.95,-2.36,87.88,2022-12-01,17.04,71.56,,71.56
2257,UCOBANK,01-12-2022,Largecap,Bank,Completed,30.93,2022-12-01,29.11,2023-01-01,Stop Loss,1,-5.87,-51.63,-5.87,37.46,2022-12-01,38.89,29.11,,29.11
2258,RAJTV,01-12-2022,Smallcap,Media,Completed,54.85,2022-12-01,48.6,2023-01-01,Stop Loss,1,-11.39,-76.58,-11.39,63.9,2023-01-01,25.34,48.6,,48.6
2259,NAGREEKCAP,01-12-2022,Smallcap,Financials,Completed,19.0,2022-12-01,15.65,2023-01-01,Stop Loss,1,-17.63,-90.25,-17.63,21.45,2022-12-01,26.32,15.65,,15.65
