signal_index,symbol,signal_date,market_cap,sector,status,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
2350,GRAPHITE,01-06-2023,Midcap,Industrials,Completed,377.1,2023-06-01,511.87,2024-07-01,Stop Loss,13,35.74,32.59,2.38,682.31,2024-04-01,18.15,511.87,,511.87
2351,HEG,01-06-2023,Midcap,Industrials,Completed,313.92,2023-06-01,321.96,2023-10-01,Stop Loss,4,2.56,7.88,0.63,377.53,2023-09-01,29.46,321.96,321.96,321.96
2352,IGARASHI,01-06-2023,Smallcap,Industrials,Completed,481.94,2023-06-01,537.05,2023-11-01,Stop Loss,5,11.43,29.67,2.19,688.4,2023-10-01,9.45,537.05,,537.05
2353,MUNJALAU,01-06-2023,Smallcap,Auto,Completed,48.88,2023-06-01,51.61,2023-10-01,Stop Loss,4,5.58,17.68,1.37,62.23,2023-08-01,4.62,51.61,,51.61
2354,ALOKINDS,01-06-2023,Midcap,Textiles,Completed,16.35,2023-06-01,14.6,2023-07-01,Stop Loss,1,-10.7,-74.29,-10.7,19.3,2023-06-01,19.57,14.6,,14.6
2355,SURYALAXMI,01-06-2023,Smallcap,Textiles,Completed,59.2,2023-06-01,57.25,2023-07-01,Stop Loss,1,-3.29,-33.1,-3.29,65.0,2023-06-01,5.49,57.25,,57.25
2356,GVT&D,01-06-2023,Largecap,Industrials,Completed,218.64,2023-06-01,1335.85,2025-02-01,Stop Loss,20,510.99,196.22,9.47,2238.9,2024-12-01,19.33,1335.85,,1335.85
2357,VENKEYS,01-06-2023,Smallcap,FMCG,Completed,1674.46,2023-06-01,1749.6,2024-02-01,Stop Loss,8,4.49,6.81,0.55,2284.75,2023-08-01,3.7,1749.6,,1749.6
2358,WANBURY,01-06-2023,Smallcap,Healthcare,Completed,55.6,2023-06-01,51.4,2023-07-01,Stop Loss,1,-7.55,-61.04,-7.55,59.0,2023-06-01,17.0,51.4,,51.4
2359,NATCOPHARM,01-06-2023,Midcap,Healthcare,Completed,680.82,2023-06-01,792.5,2023-10-01,Stop Loss,4,16.4,57.72,3.87,918.9,2023-09-01,11.05,792.5,,792.5
2360,GREENPLY,01-06-2023,Smallcap,Building Materials,Completed,177.43,2023-06-01,167.78,2023-07-01,Stop Loss,1,-5.43,-48.85,-5.43,184.83,2023-06-01,12.21,167.78,,167.78
2361,63MOONS,01-06-2023,Smallcap,I.T,Completed,240.45,2023-06-01,236.9,2023-07-01,Stop Loss,1,-1.48,-16.36,-1.48,278.4,2023-07-01,33.31,236.9,,236.9
2362,DBSTOCKBRO,01-06-2023,Smallcap,Financials,Completed,24.8,2023-06-01,23.85,2023-07-01,Stop Loss,1,-3.83,-37.42,-3.83,32.25,2023-06-01,8.87,23.85,23.85,23.85
2363,BCG,01-06-2023,Smallcap,I.T,Completed,31.2,2023-06-01,25.05,2023-07-01,Stop Loss,1,-19.71,-92.82,-19.71,36.45,2023-06-01,38.78,25.05,,25.05
2364,XCHANGING,01-06-2023,Smallcap,I.T,Completed,66.43,2023-06-01,108.77,2024-05-01,Target 1 - Red Doji,11,63.73,71.23,4.58,152.61,2024-02-01,30.17,105.52,108.77,105.52
2365,DCBBANK,01-06-2023,Smallcap,Bank,Completed,118.84,2023-06-01,114.43,2023-08-01,Stop Loss,2,-3.71,-20.28,-1.87,129.93,2023-07-01,8.16,114.43,,114.43
2366,GLOBALVECT,01-06-2023,Smallcap,Transportation,Completed,73.2,2023-06-01,123.3,2024-03-01,Target 1 - Red Doji,9,68.44,100.42,5.96,149.95,2024-01-01,20.63,220.9,123.3,220.9
2367,RAJTV,01-06-2023,Smallcap,Media,Completed,45.45,2023-06-01,44.15,2023-07-01,Stop Loss,1,-2.86,-29.41,-2.86,62.8,2023-06-01,6.16,44.15,,44.15
2368,PURVA,01-06-2023,Midcap,Realty,Completed,90.11,2023-06-01,292.85,2025-01-01,Stop Loss,19,225.01,110.52,6.4,569.6,2024-07-01,10.07,292.85,,292.85
2369,MOTILALOFS,01-06-2023,Largecap,Financials,Completed,715.87,2023-06-01,440.1,2024-01-01,Stop Loss,7,-38.52,-56.57,-6.71,1278.16,2023-12-01,57.86,440.1,,440.1
2370,KAUSHALYA,01-06-2023,Smallcap,Services,Completed,525.0,2023-06-01,470.0,2023-07-01,Stop Loss,1,-10.48,-73.5,-10.48,690.0,2023-06-01,12.38,470.0,470.0,470.0
2371,MOIL,01-06-2023,Midcap,Metals & Mining,Completed,156.48,2023-06-01,323.72,2024-10-01,Stop Loss,16,106.88,72.5,4.65,573.9,2024-07-01,3.17,323.72,,323.72
2372,TBZ,01-06-2023,Smallcap,Consumer Discretionary,Completed,81.29,2023-06-01,113.68,2024-02-01,Stop Loss,8,39.83,65.35,4.28,141.98,2023-12-01,13.18,113.68,,113.68
2373,NIBL,01-06-2023,Smallcap,Industrials,Completed,23.65,2023-06-01,23.1,2023-07-01,Stop Loss,1,-2.33,-24.6,-2.33,27.0,2023-06-01,25.79,23.1,,23.1
2374,INOXWIND,01-06-2023,Largecap,Industrials,Completed,38.45,2023-06-01,150.19,2025-02-01,Stop Loss,20,290.61,126.49,7.05,261.9,2024-09-01,14.17,150.19,,150.19
2375,ORTINGLOBE,01-06-2023,Smallcap,Healthcare,Completed,21.49,2024-08-01,21.26,2024-09-01,Stop Loss,1,-1.07,-12.11,-1.07,24.82,2024-08-01,9.03,21.26,,21.26
2376,VETO,01-06-2023,Smallcap,Industrials,Completed,98.57,2023-06-01,111.74,2023-10-01,Stop Loss,4,13.35,45.65,3.18,143.75,2023-08-01,4.46,111.74,111.74,111.74
2377,PILANIINVS,01-06-2023,Midcap,Financials,Completed,1896.89,2023-06-01,3675.19,2025-02-01,Stop Loss,20,93.75,48.71,3.36,8183.26,2024-10-01,6.41,3675.19,,3675.19
2378,GINNIFILA,01-06-2023,Smallcap,Textiles,Completed,29.75,2023-06-01,27.4,2023-07-01,Stop Loss,1,-7.9,-62.75,-7.9,32.45,2023-06-01,27.23,27.4,,27.4
