signal_index,symbol,signal_date,market_cap,sector,status,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
2379,SUNDRMBRAK,01-06-2023,Smallcap,Auto,Completed,359.82,2023-06-01,810.3,2025-02-01,Stop Loss,20,125.19,62.75,4.14,1437.33,2024-12-01,12.57,810.3,,810.3
2380,WHEELS,01-06-2023,Smallcap,Auto,Completed,790.53,2023-06-01,739.01,2023-07-01,Stop Loss,1,-6.52,-55.45,-6.52,827.12,2023-07-01,25.36,739.01,,739.01
2381,GKWLIMITED,01-06-2023,Smallcap,,Completed,860.35,2023-06-01,935.0,2023-09-01,Stop Loss,3,8.68,39.49,2.81,1169.0,2023-09-01,38.87,935.0,,935.0
2382,BAJAJHIND,03-07-2023,Smallcap,FMCG,Completed,23.95,2023-08-01,29.05,2024-03-01,Stop Loss,7,21.29,39.23,2.8,40.5,2024-02-01,33.19,29.05,,29.05
2383,UMANGDAIRY,03-07-2023,Smallcap,FMCG,No Data,,,,,No Data,0,0.0,0.0,0.0,,,0.0,,,
2384,LICHSGFIN,03-07-2023,Largecap,Financials,Completed,402.31,2023-08-01,620.13,2024-10-01,Stop Loss,14,54.14,44.9,3.14,801.73,2024-07-01,7.88,620.13,,620.13
2385,LUPIN,03-07-2023,Largecap,Healthcare,Completed,1086.3,2023-08-01,1116.28,2023-10-01,Stop Loss,2,2.76,17.75,1.37,1202.62,2023-10-01,11.19,1116.28,,1116.28
2386,MIRCELECTR,03-07-2023,Smallcap,Consumer Discretionary,Completed,21.7,2023-08-01,20.8,2023-09-01,Stop Loss,1,-4.15,-39.85,-4.15,24.75,2023-09-01,11.98,20.8,,20.8
2387,MOREPENLAB,03-07-2023,Smallcap,Healthcare,Completed,38.68,2023-08-01,36.94,2023-09-01,Stop Loss,1,-4.5,-42.48,-4.5,41.62,2023-09-01,23.42,36.94,,36.94
2388,PEL,03-07-2023,Largecap,Financials,Completed,1032.23,2023-08-01,1028.35,2023-09-01,Stop Loss,1,-0.38,-4.41,-0.38,1117.14,2023-09-01,10.08,1028.35,,1028.35
2389,UCAL,03-07-2023,Smallcap,Auto,Completed,136.29,2023-08-01,131.51,2023-09-01,Stop Loss,1,-3.51,-34.84,-3.51,142.9,2023-08-01,6.29,131.51,,131.51
2390,GLAXO,03-07-2023,Largecap,Healthcare,Completed,1387.34,2023-08-01,1381.37,2023-10-01,Stop Loss,2,-0.43,-2.55,-0.22,1576.1,2023-09-01,2.92,1381.37,,1381.37
2391,INDIANHUME,03-07-2023,Smallcap,Realty,Completed,271.4,2023-08-01,237.86,2023-09-01,Stop Loss,1,-12.36,-79.47,-12.36,298.75,2023-08-01,13.56,237.86,,237.86
2392,TEXINFRA,03-07-2023,Smallcap,Realty,Completed,83.05,2023-08-01,69.01,2023-09-01,Stop Loss,1,-16.9,-89.15,-16.9,91.56,2023-08-01,20.73,69.01,,69.01
2393,TRF,03-07-2023,Smallcap,Industrials,Completed,233.25,2023-08-01,493.95,2024-09-01,Target 1 - Red Doji,13,111.77,99.89,5.94,669.0,2024-05-01,20.86,437.5,493.95,437.5
2394,WALCHANNAG,03-07-2023,Smallcap,Industrials,Completed,118.9,2023-08-01,116.2,2023-09-01,Stop Loss,1,-2.27,-24.09,-2.27,137.55,2023-09-01,21.74,116.2,,116.2
2395,GILLETTE,03-07-2023,Largecap,FMCG,Completed,5367.7,2023-08-01,7780.95,2025-02-01,Stop Loss,18,44.96,28.08,2.08,10511.93,2024-11-01,3.1,7780.95,,7780.95
2396,GICHSGFIN,03-07-2023,Smallcap,Financials,Completed,167.75,2023-08-01,193.93,2023-11-01,Target 1 - Red Doji,3,15.6,78.6,4.95,216.3,2023-10-01,2.6,193.4,193.93,193.4
2397,MUTHOOTCAP,03-07-2023,Smallcap,Financials,Completed,387.2,2023-08-01,396.4,2023-10-01,Stop Loss,2,2.38,15.13,1.18,460.0,2023-10-01,12.62,396.4,,396.4
2398,PIONEEREMB,03-07-2023,Smallcap,Textiles,Completed,51.9,2023-08-01,48.75,2023-09-01,Stop Loss,1,-6.07,-52.83,-6.07,59.0,2023-08-01,22.16,48.75,,48.75
2399,MUNJALSHOW,03-07-2023,Smallcap,Auto,Completed,132.01,2023-08-01,127.76,2023-10-01,Stop Loss,2,-3.22,-17.83,-1.62,149.42,2023-09-01,9.02,127.76,,127.76
