signal_index,symbol,signal_date,market_cap,sector,status,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
2300,BHEL,02-05-2023,Largecap,Industrials,Completed,87.04,2023-06-01,238.5,2024-10-01,Stop Loss,16,174.0,112.97,6.5,334.37,2024-07-01,6.67,238.5,,238.5
2301,MRPL,02-05-2023,Largecap,Energy,Completed,75.86,2023-06-01,147.76,2024-10-01,Stop Loss,16,94.78,64.88,4.25,284.78,2024-02-01,16.81,147.76,,147.76
2302,IDBI,02-05-2023,Largecap,Bank,Completed,52.38,2023-06-01,74.89,2024-12-01,Stop Loss,18,42.96,26.91,2.01,103.91,2024-07-01,4.07,74.89,,74.89
2303,GODREJIND,02-05-2023,Largecap,Chemicals,Completed,517.85,2023-06-01,476.9,2023-07-01,Stop Loss,1,-7.91,-62.79,-7.91,523.4,2023-07-01,10.68,476.9,,476.9
2304,GLFL,02-05-2023,Smallcap,Financials,Completed,3.0,2023-06-01,2.95,2023-07-01,Stop Loss,1,-1.67,-18.26,-1.67,3.35,2023-07-01,8.33,2.95,,2.95
2305,KAKATCEM,02-05-2023,Smallcap,Building Materials,Completed,205.83,2023-06-01,201.91,2023-07-01,Stop Loss,1,-1.9,-20.6,-1.9,219.59,2023-06-01,8.13,201.91,,201.91
2306,BPCL,02-05-2023,Largecap,Energy,Completed,161.2,2023-06-01,150.52,2023-08-01,Stop Loss,2,-6.62,-33.71,-3.37,175.87,2023-07-01,7.02,150.52,,150.52
2307,SANOFI,02-05-2023,Midcap,Healthcare,Completed,6658.4,2023-06-01,6384.24,2024-06-01,Stop Loss,12,-4.12,-4.12,-0.35,10337.51,2024-06-01,13.07,6384.24,6384.24,6384.24
2308,BBTC,02-05-2023,Midcap,Auto,Completed,1004.01,2023-06-01,987.19,2023-08-01,Stop Loss,2,-1.68,-9.64,-0.84,1174.32,2023-07-01,8.0,987.19,,987.19
2309,MANGLMCEM,02-05-2023,Smallcap,Building Materials,Completed,310.77,2023-06-01,299.87,2023-07-01,Stop Loss,1,-3.51,-34.86,-3.51,339.18,2023-06-01,9.73,299.87,,299.87
2310,PENINLAND,02-05-2023,Smallcap,Realty,Completed,23.65,2023-06-01,48.68,2024-10-01,Stop Loss,16,105.84,71.85,4.62,78.23,2024-06-01,17.34,48.68,,48.68
2311,ORIENTCER,02-05-2023,Smallcap,Building Materials,Completed,33.63,2023-07-01,32.11,2023-08-01,Stop Loss,1,-4.53,-42.64,-4.53,37.17,2023-07-01,10.66,32.11,,32.11
2312,ALEMBICLTD,02-05-2023,Smallcap,Realty,Completed,67.59,2023-06-01,80.36,2024-03-01,Stop Loss,9,18.9,25.97,1.94,103.67,2024-02-01,7.48,80.36,,80.36
2313,VISAKAIND,02-05-2023,Smallcap,Building Materials,Completed,88.68,2023-06-01,85.09,2023-07-01,Stop Loss,1,-4.05,-39.15,-4.05,98.22,2023-06-01,13.41,85.09,,85.09
2314,HINDCOMPOS,02-05-2023,Smallcap,Auto,Completed,351.8,2023-06-01,415.17,2024-02-01,Stop Loss,8,18.01,28.2,2.09,490.69,2024-01-01,12.68,415.17,,415.17
