signal_index,symbol,signal_date,market_cap,sector,status,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
2600,SUPERSPIN,01-02-2024,Smallcap,Miscellaneous,Completed,9.0,2024-02-01,6.7,2024-03-01,Stop Loss,1,-25.56,-97.1,-25.56,10.1,2024-02-01,27.22,6.7,,6.7
2601,ORIENTLTD,01-02-2024,Smallcap,Industrials,Completed,89.6,2024-02-01,75.7,2024-03-01,Stop Loss,1,-15.51,-86.77,-15.51,131.2,2024-02-01,16.24,75.7,,75.7
2602,ALPHAGEO,01-02-2024,Smallcap,Miscellaneous,Completed,365.4,2024-02-01,312.85,2024-03-01,Stop Loss,1,-14.38,-84.49,-14.38,424.06,2024-02-01,23.46,312.85,,312.85
2603,SHILPAMED,01-02-2024,Midcap,Healthcare,Completed,207.97,2024-02-01,354.42,2025-01-01,Stop Loss,11,70.42,78.88,4.97,479.17,2024-09-01,14.14,354.42,,354.42
2604,BIOCON,01-02-2024,Largecap,Healthcare,Completed,275.75,2024-02-01,263.43,2024-03-01,Stop Loss,1,-4.47,-42.21,-4.47,306.27,2024-02-01,11.56,263.43,,263.43
2605,MANGALAM,01-02-2024,Smallcap,Healthcare,Completed,122.05,2024-02-01,92.1,2024-03-01,Stop Loss,1,-24.54,-96.59,-24.54,132.45,2024-02-01,25.6,92.1,,92.1
2606,ENIL,01-02-2024,Smallcap,Media,Completed,322.76,2024-02-01,255.1,2024-03-01,Stop Loss,1,-20.96,-94.06,-20.96,351.83,2024-02-01,27.15,255.1,,255.1
2607,PARSVNATH,01-02-2024,Smallcap,Realty,Completed,15.1,2024-02-01,14.5,2024-04-01,Stop Loss,2,-3.97,-21.59,-2.01,17.25,2024-04-01,27.81,14.5,14.5,14.5
2608,EMBDL,01-02-2024,Midcap,Miscellaneous,Completed,145.06,2024-06-01,135.85,2024-07-01,Stop Loss,1,-6.35,-54.49,-6.35,157.8,2024-07-01,15.17,135.85,,135.85
2609,HMVL,01-02-2024,Smallcap,Media,Completed,109.75,2024-02-01,107.4,2024-03-01,Stop Loss,1,-2.14,-22.87,-2.14,127.95,2024-03-01,21.23,107.4,,107.4
2610,TIJARIA,01-02-2024,Smallcap,Plastic products,Completed,11.0,2024-02-01,16.59,2024-06-01,Stop Loss,4,50.82,243.05,10.82,28.95,2024-05-01,47.73,16.59,,16.59
