signal_index,symbol,signal_date,market_cap,sector,status,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
2550,CUB,01-12-2023,Midcap,Bank,Completed,146.26,2023-12-01,142.24,2024-01-01,Stop Loss,1,-2.75,-28.45,-2.75,164.71,2023-12-01,8.22,142.24,,142.24
2551,ENERGYDEV,01-12-2023,Smallcap,Power & Utilities,Completed,26.7,2023-12-01,21.2,2024-02-01,Stop Loss,2,-20.6,-74.94,-10.89,36.8,2023-12-01,29.59,21.2,,21.2
2552,STAR,01-12-2023,Midcap,Healthcare,Completed,645.14,2023-12-01,656.43,2024-12-01,Stop Loss,12,1.75,1.75,0.14,1667.46,2024-10-01,25.76,656.43,,656.43
2553,JHS,01-12-2023,Smallcap,FMCG,Completed,25.45,2023-12-01,24.15,2024-02-01,Stop Loss,2,-5.11,-26.99,-2.59,39.5,2024-01-01,10.41,24.15,,24.15
2554,SHIVAMAUTO,01-12-2023,Smallcap,Auto,Completed,38.45,2023-12-01,37.15,2024-03-01,Stop Loss,3,-3.38,-12.85,-1.14,49.75,2024-02-01,28.48,37.15,,37.15
2555,ZEEMEDIA,01-12-2023,Smallcap,Media,Completed,15.1,2023-12-01,14.85,2024-01-01,Stop Loss,1,-1.66,-18.15,-1.66,18.3,2023-12-01,11.92,14.85,14.85,14.85
2556,HUBTOWN,01-12-2023,Smallcap,Realty,Completed,83.3,2023-12-01,124.4,2024-05-01,Stop Loss,5,49.34,161.83,8.35,172.0,2024-02-01,6.36,124.4,,124.4
2557,BGRENERGY,01-12-2023,Smallcap,Realty,Completed,97.2,2023-12-01,94.15,2024-01-01,Stop Loss,1,-3.14,-31.79,-3.14,119.25,2023-12-01,12.45,94.15,,94.15
2558,SHAH,01-12-2023,Smallcap,Metals & Mining,Completed,4.35,2023-12-01,4.1,2024-01-01,Stop Loss,1,-5.75,-50.85,-5.75,5.5,2023-12-01,28.74,4.1,,4.1
2559,LOVABLE,01-12-2023,Smallcap,Textiles,Completed,145.4,2023-12-01,156.85,2024-01-01,Target 1 - Red Doji,1,7.87,148.34,7.87,171.7,2024-01-01,3.3,138.2,156.85,138.2
2560,ZUARI,01-12-2023,Smallcap,Chemicals,Completed,188.95,2023-12-01,204.95,2024-02-01,Stop Loss,2,8.47,62.86,4.15,258.0,2024-01-01,11.62,204.95,,204.95
2561,ADANIENSOL,01-12-2023,Largecap,Power & Utilities,Completed,1045.75,2023-12-01,1026.7,2024-03-01,Stop Loss,3,-1.82,-7.09,-0.61,1250.0,2024-01-01,18.91,1026.7,,1026.7
2562,ORTINGLOBE,01-12-2023,Smallcap,Healthcare,Completed,21.49,2024-08-01,21.26,2024-09-01,Stop Loss,1,-1.07,-12.11,-1.07,24.82,2024-08-01,9.03,21.26,,21.26
2563,NAVKARCORP,01-12-2023,Smallcap,Transportation,Completed,102.15,2023-12-01,106.85,2024-02-01,Stop Loss,2,4.6,30.98,2.27,125.55,2024-02-01,16.01,106.85,,106.85
