signal_index,symbol,signal_date,market_cap,sector,status,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
2200,MUNJALAU,01-09-2022,Smallcap,Auto,Completed,47.52,2022-09-01,47.14,2022-10-01,Stop Loss,1,-0.79,-9.11,-0.79,52.87,2022-09-01,4.45,47.14,47.14,47.14
2201,WINDMACHIN,01-09-2022,Smallcap,Industrials,Completed,35.81,2022-09-01,40.23,2023-02-01,Stop Loss,5,12.35,32.24,2.36,56.63,2023-01-01,7.23,40.23,,40.23
2202,SANGHIIND,01-09-2022,Smallcap,Building Materials,Completed,57.0,2022-09-01,55.65,2022-10-01,Stop Loss,1,-2.37,-25.0,-2.37,73.0,2022-09-01,11.84,55.65,,55.65
2203,DBSTOCKBRO,01-09-2022,Smallcap,Financials,Completed,25.1,2022-09-01,24.95,2022-10-01,Stop Loss,1,-0.6,-6.94,-0.6,36.5,2022-09-01,16.33,24.95,,24.95
2204,MOHITIND,01-09-2022,Smallcap,Textiles,Completed,17.85,2022-09-01,17.75,2022-10-01,Stop Loss,1,-0.56,-6.52,-0.56,21.8,2022-09-01,4.76,17.75,,17.75
2205,BFUTILITIE,01-09-2022,Smallcap,Power & Utilities,Completed,406.15,2022-09-01,391.25,2022-10-01,Stop Loss,1,-3.67,-36.14,-3.67,490.0,2022-09-01,4.53,391.25,,391.25
2206,SUNTV,01-09-2022,Largecap,Media,Completed,470.08,2022-09-01,454.33,2022-11-01,Stop Loss,2,-3.35,-18.49,-1.69,525.18,2022-11-01,7.01,454.33,,454.33
2207,RELIGARE,01-09-2022,Midcap,Financials,Completed,167.25,2022-09-01,173.65,2022-12-01,Stop Loss,3,3.83,16.21,1.26,192.45,2022-11-01,22.24,173.65,,173.65
2208,KIRLOSENG,01-09-2022,Midcap,Industrials,Completed,236.44,2022-09-01,1319.2,2024-08-01,End of Data,23,457.95,145.2,7.76,1433.53,2024-07-01,9.9,,,
2209,RKDL,01-09-2022,Smallcap,FMCG,Completed,13.55,2022-09-01,16.9,2023-01-01,Stop Loss,4,24.72,94.02,5.68,23.8,2022-10-01,11.44,16.9,16.9,16.9
