signal_index,symbol,signal_date,market_cap,sector,status,signal_candle_high,entry_price,entry_date,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price,signal_ha_close,signal_ha_open,ema_89_ha_close,regular_close,regular_open,regular_high,regular_low
46,VINDHYATEL,01-05-2025,Smallcap,Realty,Completed,1686.56,1661.82,2025-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,1470.91,1404.21,1460.06,1661.82,1291.44,1686.56,1243.84
36,HERITGFOOD,01-05-2023,Smallcap,FMCG,Completed,214.59,211.51,2023-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,189.13,152.05,176.23,211.51,165.82,214.59,164.6
45,VINDHYATEL,01-05-2021,Smallcap,Realty,Completed,1097.3,1043.59,2021-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,917.84,794.27,796.9,1043.59,765.22,1097.3,765.22
49,KCPSUGIND,01-05-2021,Smallcap,FMCG,Completed,25.16,20.42,2021-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,20.04,15.86,18.64,20.42,17.28,25.16,17.28
13,NTPC,01-05-2021,Largecap,Utilities,Completed,98.88,93.58,2021-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,90.98,86.81,88.54,93.58,85.88,98.88,85.58
20,CIPLA,01-05-2020,Midcap,Healthcare,Completed,626.99,624.3,2020-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,591.0,452.89,498.48,624.3,567.9,626.99,544.79
3,BHARTIARTL,01-05-2019,Largecap,Telecommunications,Completed,340.31,333.42,2019-05-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,319.68,292.13,309.95,333.42,306.18,340.31,298.82
32,VARDMNPOLY,01-04-2023,Smallcap,Textiles,Completed,4.64,4.09,2023-04-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,3.43,2.14,2.51,4.09,2.5,4.64,2.5
40,MRPL,01-04-2023,Largecap,Energy,Completed,65.28,63.26,2023-04-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,58.21,53.84,57.63,63.26,52.28,65.28,52.03
31,VARDMNPOLY,01-04-2022,Smallcap,Textiles,Completed,3.2,2.96,2022-04-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,2.73,2.54,2.58,2.96,2.4,3.2,2.36
39,MRPL,01-04-2022,Largecap,Energy,Completed,74.63,72.61,2022-04-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,57.29,42.23,55.6,72.61,40.96,74.63,40.96
12,NTPC,01-03-2021,Largecap,Utilities,Completed,97.14,90.24,2021-03-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,91.62,79.58,88.5,90.24,92.74,97.14,86.38
0,ITC,01-03-2021,Largecap,FMCG,Completed,191.18,183.13,2021-03-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,178.87,168.8,177.75,183.13,172.2,191.18,168.97
11,NTPC,01-03-2019,Largecap,Utilities,Completed,110.18,104.52,2019-03-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,99.48,89.77,91.37,104.52,91.62,110.18,91.59
47,NEULANDLAB,01-03-2019,Midcap,Healthcare,Completed,762.21,663.41,2019-03-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,690.02,573.04,654.23,663.41,745.16,762.21,589.3
19,CIPLA,01-03-2019,Midcap,Healthcare,Completed,526.27,501.25,2019-03-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,510.68,508.33,509.43,501.25,525.98,526.27,489.21
14,TATAMOTORS,01-02-2021,Midcap,Automotive,Completed,335.85,317.24,2021-02-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,292.23,194.31,264.74,317.24,264.98,335.85,250.83
23,BANARISUG,01-02-2020,Smallcap,FMCG,Completed,1545.55,1256.12,2020-02-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,1361.91,1226.82,1355.71,1256.12,1420.2,1545.55,1225.75
30,VARDMNPOLY,01-01-2022,Smallcap,Textiles,Completed,3.28,2.82,2022-01-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,2.77,2.36,2.58,2.82,2.57,3.28,2.43
22,CESC,01-01-2021,Largecap,Utilities,Completed,57.63,48.13,2021-01-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,50.47,46.91,48.1,48.13,48.64,57.63,47.49
44,VINDHYATEL,01-01-2021,Smallcap,Realty,Completed,861.0,769.12,2021-01-01,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,797.99,743.53,793.25,769.12,808.63,861.0,753.19
