signal_index,symbol,signal_date,market_cap,sector,status,signal_candle_high,entry_price,entry_date,entry_candle_index,exit_price,exit_date,exit_reason,months_held,total_return_percent,cagr_percent,cmgr_percent,max_high,max_high_date,drawdown_percent,stop_loss_price,target1_price,target2_price
728,V2RETAIL,03-10-2016,Midcap,Consumer Discretionary,Completed,149.5,149.5,2016-11-01,3.0,111.65,2016-12-01,Stop Loss,1,-25.32,-96.99,-25.32,163.75,2016-11-01,36.92,111.65,,111.65
729,TARMAT,03-10-2016,Smallcap,Realty,Completed,56.35,56.35,2017-02-01,6.0,45.0,2017-03-01,Stop Loss,1,-20.14,-93.27,-20.14,61.35,2017-02-01,26.53,45.0,,42.45
730,KOLTEPATIL,03-10-2016,Smallcap,Realty,Completed,129.18,129.18,2017-03-01,7.0,159.63,2017-07-01,Target 1 - Red Doji,4,23.57,88.67,5.43,193.82,2017-04-01,23.64,,159.63,207.39
731,ALKALI,03-10-2016,Smallcap,Chemicals,No Entry,93.57,,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
732,ONGC,01-11-2016,Largecap,Energy,Completed,121.26,121.26,2016-12-01,3.0,118.81,2017-03-01,Stop Loss,3,-2.02,-7.86,-0.68,134.48,2017-01-01,3.08,118.81,,118.81
733,REGENCERAM,01-11-2016,Smallcap,Building Materials,No Entry,10.2,,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
734,NATIONALUM,01-11-2016,Largecap,Metals & Mining,Completed,34.73,34.73,2016-12-01,3.0,46.15,2018-01-01,Target 1 - Red Doji,13,32.88,30.01,2.21,59.81,2017-11-01,8.91,,46.15,42.01
735,CREST,01-11-2016,Smallcap,Financials,Completed,98.94,98.94,2016-12-01,3.0,96.14,2017-01-01,Stop Loss,1,-2.83,-29.16,-2.83,102.42,2016-12-01,31.49,96.14,,176.95
736,RSSOFTWARE,01-12-2016,Smallcap,I.T,No Entry,127.51,,,,,,No Entry,0,0.0,0.0,0.0,,,0.0,,,
737,DOLPHIN,01-12-2016,Smallcap,Energy,Completed,1147.2,1147.2,2018-01-01,15.0,715.6,2018-02-01,Stop Loss,1,-37.62,-99.65,-37.62,1265.6,2018-01-01,40.27,715.6,,715.6
738,WANBURY,01-12-2016,Smallcap,Healthcare,Completed,65.45,65.45,2017-01-01,3.0,60.2,2017-02-01,Stop Loss,1,-8.02,-63.34,-8.02,75.4,2017-02-01,12.38,60.2,,44.8
739,BLBLIMITED,01-12-2016,Smallcap,Financials,Completed,8.85,8.85,2017-12-01,14.0,6.85,2018-01-01,Stop Loss,1,-22.6,-95.38,-22.6,10.0,2017-12-01,29.38,6.85,,5.85
740,TANLA,01-12-2016,Midcap,I.T,Completed,59.16,59.16,2017-01-01,3.0,49.85,2017-02-01,Stop Loss,1,-15.74,-87.19,-15.74,61.52,2017-01-01,18.48,49.85,,44.75
741,LIQUIDBEES,01-12-2016,Smallcap,Indices,Completed,768.07,768.07,2017-01-01,3.0,856.8,2019-11-01,End of Data,34,11.55,3.93,0.32,863.65,2019-11-01,2.64,,,
742,ELECTCAST,02-01-2017,Midcap,Industrials,Completed,27.15,27.15,2017-03-01,4.0,25.86,2017-08-01,Stop Loss,5,-4.77,-11.07,-0.97,36.31,2017-04-01,19.57,25.86,,25.86
743,MAHSEAMLES,02-01-2017,Midcap,Industrials,Completed,130.07,130.07,2017-02-01,3.0,210.52,2018-02-01,Target 1 - Red Doji,12,61.85,61.85,4.09,249.85,2018-01-01,7.07,,210.52,193.0
744,OILCOUNTUB,02-01-2017,Smallcap,Metals & Mining,Completed,61.65,61.65,2018-01-01,14.0,42.6,2018-02-01,Stop Loss,1,-30.9,-98.82,-30.9,67.45,2018-01-01,37.63,42.6,,42.6
745,ZUARIIND,02-01-2017,Smallcap,FMCG,Completed,119.08,119.08,2017-04-01,5.0,111.44,2017-08-01,Stop Loss,4,-6.42,-18.04,-1.64,135.91,2017-05-01,13.57,111.44,,111.44
746,PRAKASH,02-01-2017,Smallcap,Metals & Mining,Completed,63.15,63.15,2017-02-01,3.0,86.41,2017-09-01,Target 1 - Red Doji,7,36.83,71.18,4.58,122.13,2017-07-01,8.91,,86.41,120.79
747,BHAGYANGR,02-01-2017,Smallcap,Power & Utilities,Completed,26.9,26.9,2017-05-01,6.0,24.75,2017-06-01,Stop Loss,1,-7.99,-63.2,-7.99,28.0,2017-05-01,19.52,24.75,,23.05
748,STCINDIA,02-01-2017,Smallcap,Services,Completed,251.4,251.4,2017-11-01,12.0,188.4,2017-12-01,Stop Loss,1,-25.06,-96.86,-25.06,299.0,2017-11-01,33.57,188.4,,159.0
749,GUJAPOLLO,02-01-2017,Smallcap,Industrials,Completed,131.87,131.87,2017-02-01,3.0,222.88,2017-12-01,Target 1 - Red Doji,10,69.02,87.72,5.39,281.74,2017-09-01,6.55,,222.88,179.79
